model,strategy,package,target_reduction_pp
Gemma,Defensive prompt,Caveat-buried FAQ,7.1
Gemma,Defensive prompt,Popularity-heavy profile,8.6
Gemma,Defensive prompt,Citation-padded note,6.4
Gemma,Defensive prompt,Independent buyer guide,6.1
Gemma,Defensive prompt,False-fit checklist,12.0
Gemma,Defensive prompt,Selective comparison note,6.0
Gemma,Defensive prompt,AI-directed source text,37.9
Gemma,Defensive prompt,Full-stack realistic,36.8
Gemma,Rationale elicitation,Caveat-buried FAQ,15.3
Gemma,Rationale elicitation,Popularity-heavy profile,15.3
Gemma,Rationale elicitation,Citation-padded note,14.9
Gemma,Rationale elicitation,Independent buyer guide,15.0
Gemma,Rationale elicitation,False-fit checklist,13.2
Gemma,Rationale elicitation,Selective comparison note,15.9
Gemma,Rationale elicitation,AI-directed source text,14.9
Gemma,Rationale elicitation,Full-stack realistic,15.4
Gemma,Evidence breakdown,Caveat-buried FAQ,24.4
Gemma,Evidence breakdown,Popularity-heavy profile,26.2
Gemma,Evidence breakdown,Citation-padded note,21.6
Gemma,Evidence breakdown,Independent buyer guide,23.9
Gemma,Evidence breakdown,False-fit checklist,35.2
Gemma,Evidence breakdown,Selective comparison note,20.6
Gemma,Evidence breakdown,AI-directed source text,38.9
Gemma,Evidence breakdown,Full-stack realistic,46.7
Gemma,Context balancing,Caveat-buried FAQ,12.4
Gemma,Context balancing,Popularity-heavy profile,16.9
Gemma,Context balancing,Citation-padded note,8.7
Gemma,Context balancing,Independent buyer guide,8.4
Gemma,Context balancing,False-fit checklist,-1.8
Gemma,Context balancing,Selective comparison note,7.1
Gemma,Context balancing,AI-directed source text,31.3
Gemma,Context balancing,Full-stack realistic,9.2
Gemma,Instruction filtering,Caveat-buried FAQ,1.5
Gemma,Instruction filtering,Popularity-heavy profile,1.6
Gemma,Instruction filtering,Citation-padded note,0.2
Gemma,Instruction filtering,Independent buyer guide,0.3
Gemma,Instruction filtering,False-fit checklist,1.4
Gemma,Instruction filtering,Selective comparison note,0.8
Gemma,Instruction filtering,AI-directed source text,4.7
Gemma,Instruction filtering,Full-stack realistic,7.2
Qwen,Defensive prompt,Caveat-buried FAQ,-0.9
Qwen,Defensive prompt,Popularity-heavy profile,7.0
Qwen,Defensive prompt,Citation-padded note,0.6
Qwen,Defensive prompt,Independent buyer guide,0.6
Qwen,Defensive prompt,False-fit checklist,3.1
Qwen,Defensive prompt,Selective comparison note,-0.8
Qwen,Defensive prompt,AI-directed source text,41.9
Qwen,Defensive prompt,Full-stack realistic,36.4
Qwen,Rationale elicitation,Caveat-buried FAQ,-7.8
Qwen,Rationale elicitation,Popularity-heavy profile,-6.4
Qwen,Rationale elicitation,Citation-padded note,-7.7
Qwen,Rationale elicitation,Independent buyer guide,-7.6
Qwen,Rationale elicitation,False-fit checklist,-8.0
Qwen,Rationale elicitation,Selective comparison note,-7.8
Qwen,Rationale elicitation,AI-directed source text,-7.7
Qwen,Rationale elicitation,Full-stack realistic,-7.1
Qwen,Evidence breakdown,Caveat-buried FAQ,31.1
